Payment Denial Reason,fraud
DISCHARGE UPDATED AFTER 15 DAYS HENCE REJECTED  ,1
CLAIM REJECTED AS SAME PACKAGE BLOCKED UNDER CASE ID CASE/HOSP3P53909/PS241379 AND THIS PACKAGE CAN BE PAID ONCE PER ANNUM,0
REJECTED AS PREAUTH WAS INITIATED AFTER 5 DAYS OF ADMISSION ON DOD,1
"As Per Claim Audit Surgery Not done, Hence claim is not Payable",1
"query not reverted document mismatch ,pt name sunita but document provide mandeep singh hence rejected.",1
Reject as The given documents Suggest that Surgery has not Done,1
as per discharge summary mismatch diagnosis hence rejected ,1
FINAL BILL 13860 IS MORE THAN PREAUTH AMOUNT  9900 HENCE CLAIM IS BEING REJECTED,1
REJECTED AS PREAUTH IS INITIATED AFTER DISCHARGE OF PATIENT,1
Rejected as the submission is 2 month late ,1
REJECTED AS MEDICAL AND SURGICAL PACKAGES CANNOT BE CLUBBED,0
"HD CHART NOT ATTACHED FOR THIS ENHANCEMENT DATE,ALREADY PAID FOR 23/1/2020 AS PER GIVEN HD CHART,HENCE REJECTED ",1
REJECTED AS CONSERVATIVE MNGT DONE,1
"Wrong discharge summary, Date mismatch in discharge summary, Dialysis procedure note is note signed by doctor",1
REJECTED AS OPTED PLANNED PROCEDURE AND PREAUTH INITIATED AFTER PROCEDURE IS DONE AND ON BED PHOTO PROVIDED IS OF 15/1/2020,1
CLAIM SUBMITTED AFTER 15 DAYS (TAT PERIOD) FROM DISCHARGE DATE ,1
"SURGICAL PACKAGE TAKEN ON 24/3 ,AS PER SCHEME THIS IS PRE OPERATIVE MEDICAL TREATMENT WAS INVOLVED IN THE SAME SURGICAL PACKAGE ,HENCE REJECTED ",1
CLAIM REJECTED AS HOSPITAL HAS OPTED FOR PLANNED PROCEDURE AND PROCEDURE DONE BEFORE APPROVAL  CASE REJECTED AS CLAIM SUBMITTED AFTER 15 DAYS OF DISCHARGE AND ALSO PROCEDURE HAS DONE BEFORE APPROVAL. CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 31/1/2020 AND CLAIM SUBMITTED ON 16/02/2020 AFTER 17 DAYS OF DISCHARGE HENCE REJECTED. PROVIDE  ALSO PROVIDE FINAL BILL. AND ALL THE INVESTIGATION DONE DURING HOSPITALIZATION. HOSPITAL HAS OPTED FOR PLANNED PROCEDURE AND PROCEDURE DONE BEFORE APPROVAL HENCE REJECTED,1
CLAIM REJECTED AS PATIENT WAS ONLY ON ORAL MEDICATION HENCE HOSPITALIZATION NOT JUSTIFIED,1
ALCOHOL AND ITS RELATED DISEASES ARE NOT PAYABLE AS PER THE POLICY TERMS AND CONDITIONS HENCE REJECTED ,0
REJECTED AS ON REPEATED QUERIES REQUESTED DOCUMENTS WERE NOT PROVIDED,1
"Pre-Auth is initiated after 5 days of Admission and also after Discharge of the Patient,hence rejected",1
REJECTED AS ALCOHOLIC AND ITS RELATED DISEASES ARE NOT PAYABLE AS PER THE POLICY TERMS AND CONDITIONS HENCE THIS IS REJECTED,0
REJECTED AS CLAIM SUBMITTED AFTER 30 DAYS,1
"Inadequate query reply even after multiple queries, hence denied",1
"Claim submitted after 15 days of discharge of the patient, hence denied.",1
REJECTED AS ENDOSCOPY CHARGES ARE NOT COVERED UNDER THIS PACKAGE ,0
"As per the summary diagnosis is ALD, this can not be paid as per the scheme, hence rejected",0
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT ,1
CLAIM REJECTED AS NO SURGERY DONE,1
AS PER TMS CLAIM IS SUBMITTED AFTER 15 DAYS OF DISCHARGE OF THE PT,1
REJECT AS PAR PACKAGE CANT BLOCK SEPERATE,0
REJECTED AS CT NOT COVERED UNDER THIS PACKAGE,1
REJECTED AS PREAUTH WAS INITIATED AFTER DISCHARGE OF PATIENT,1
"Delayed claim submission 30 days after the discharge, hence denied",1
FINAL BILL  19800  IS MORE THAN PREAUTH AMOUNT 15840 HENCE CLAIM BEING REJECTED,1
"as  package blocked for septicemia but as  per discharge summary patient is known case of ,chirosis of liver ,chronic alcoholic ,hence rejected  ",0
"Pre-Auth is initiated after 5 days of Admission and also after Discharge of the Patient, therefore claim has been rejected as per SHA INSURER instructions",1
"Claim is submitted after 30 days of Discharge of the patient,hence rejected.",1
"Claim submitted by hospital is after 15days of discharge of patient,hence rejected",1
REJECTED DUE TO SURGICAL AND MEDICAL PACKAGES CANNOT BE CLUBBED,0
"AS PER CBC REPORT HB WAS 12.3 ON 28/01/2020 HENCE CLAIM FOR BT NOT JUSTIFY , REJECTED",1
" As per TMS Claim is submitted after 15 days of discharge of the Patient, therefore claim rejected as per IC instructions",1
CLAIM REJECTED AS PREAUTH INITIATED AFTER 5 DAYS OF ADMISSION,1
"DOD 23/3/20 AND CLAIM INITIATED ON 13/4/20 I.E. AFTER MORE THAN 15 DAYS, HENCE CLAIM IS BEING REJECTED",1
Preauth is initiated after discharge of patient hence cannot be paid as per guidelines,1
REJECTED AS MRI CHARGES ARE NOT COVERED UNDER THIS PACKAGE,0
Delayed or no query reply ,1
"CLAIM REJECTED AS WRONG PACKAGE BLOCKED,PACKAGE BLOCKED FOR ENDOSCOPY UNDER BLOOD TRANSFUSION",0
"As per the past history same package taken on same day CASE/PS1/HOSP3P65756/FS304556, hence rejected",1
REJECTED AS NO PROCEDURE DONE,1
"PreAuth initiated after 5days of admission of the patient,hence rejected ",1
"PRE AUTH INITIATED AFTER THE PATIENT DISCHARGE, HENCE REJECTED",1
REJECTED AS PFT CHARGES ARE NOT COVERED UNDER THIS PACKAGE ,0
REJECTED  DUE TO DELAYED CLAIM SUBMISSION AFTER 15 DAYS OF PATIENT DISCHARGE,1
"After repeated query raised hospital not provided the documents,hence rejected",1
REJECTED AS WRONG PKG BLOCKED...Haemodialysis/Peritoneal Dialysis (only for ARF) - per session(M100070) TO BE BLOCKED ONLY IF PATIENT IS ALREADY UNDER MEDICAL ADMISSION FOR AKI..PATIENT IS NOT UNDER MEDICAL ADMISSION,0
REJECT BASED UPON VERIFICATION,1
HD DONE 22/1/ 20  I.E. 4 DAYS BEFORE PREAUTH 26/1/20 . CLAIM IS BEING REJECTED,1
NA,1
"SURGERY NOT DONE, HENCE DENIED",1
approved for this package S100251 for ckd patient ,0
Rejected as total 2 month late submission,1
"Claim submitted by hospital is after 15days of discharge of patient,hence rejected ",1
Delay in claim submission for two months,1
KINDLY UPLOAD REPORT OF THE TEST DONE ,1
"as per preauth remark...As per provided clinical photo need for ICU enhancement is not justified,Kindly take HDU or routine ward,hence rejected",1
REJECTED AS CECT /ECHO CHARGES ARE NOT COVERED UNDER THIS PACKAGE,0
REJECTED AS AFTER 30 DAYS TAT APPROVED,1
PREAUTH INITIATED AFTER 5 DAYS OF ADMISSION AND AFTER DISCHARGE OF THE PATIENT HENCE REJECTED ,1
"AS PER PREAUTH DOCUMENTS ,NOT GIVEN ALD ,IN DISCHARGE SUMMARY ,MENTIONED AS ALD,ALCOHOL IS EXCLUSION,HENCE REJECTED ",0
REJECTED AS THIS PACKAGE TO BE CLUBBED WITH ONLY MEDICAL PACKAGE..PATIENT IS NOT UNDER MEDICAL ADMISSION,1
AS PER THE HOSPITAL REMARK  THE PACKAGE IS WRONGLY BLOCKED HENCE REJECTED.,0
REJECTED AS HOSPITAL OPTED PLANNED PROCEDURE AND PROCEDURE WAS DONE BEFORE PREAUTH APPROVAL,1
CLAIM SUBMITTED AFTER 30 DAY OF PATIENT DISCHARGE HENCE REJECTED ,1
REJECTED AS HD CHART NOT PROVIDED,1
WRONG PACKAGE BLOCKED AS PACKAGE BLOCKED FOR PFT AND OTHER INVESTIGATION UNDER BT PACKAGE,0
KINDLY PROVIDE THE HD CHART OF 26/2/2020 AS THE ONE PROVIDED IS 17/2/2020.,1
AS PER TMS CLAIM IS SUBMITTED AFTER 30 DISCHARGE OF PT,1
REJECTED AS WRONG PACKAGE WAS BLOCKED,0
"As per provided discharge summary patient is diagnose with ALD,rejected As per exclusion of the policy",0
REJECTED AS CECT  CHARGES ARE NOT COVERED UNDER THIS PACKAGE ,0
REJECTED AS MRI CT CHARGES ARE NOT COVERED UNDER THIS PACKAGE,0
rejected as claim already paid on same date for same procedure ,1
REJECTED DUE TO DELAYED CLAIM SUBMISSION AFTER 15 DAYS OF  PATIENT DISCHARGE ,1
"As per the summary diagnosis is ALD (alcoholic liver disease), this is exclusion as per the scheme, hence rejected",0
REJECTED AS PATIENT UNDER MEDICAL ADMISSION TILL 27/1/2020..MEDICAL AND SURGICAL PACKAGE CANNOT BE CLUBBED,0
"REJECTED AS Pre-Auth is initiated after 5 days of Admission and also after Discharge of the Patient, therefore claim has been rejected. ",1
AS PER AUDIT REMARKS NO SPECIALIST AVAILABLE HENCE REJECTED,1
REJECTED AS ENDOSCOPY IS NOT COVERED UNDER THIS PACKAGE,0
REJECTED AS PLANNED PROCEDURE OPTED BY HOSPITAL WAS DONE BEFORE PREAUTH APPROVAL AND PREAUTH WAS INITIATED AFTER 5 DAYS OF ADMISSION,1
delayed submission of  documents,1
PACKAGE WRONGLY BLOCKED HENCE THIS CLAIM IS REJECTED,0
DELAYED SUBMISSION OF CLAIM.,1
"already package paid and inclusive in past history for s. anemia on 28/2 , hence rejected",1
REJECTED AS WRONG PACKAGE BLOCKED FOR HRCT CHEST,0
Critical Care Neonatal Package ALREADY APPROVED HENCE REJECTED ,1
REJECTED AS PATIENT WAS MANAGED CONSERVATIVELY AND REFERRED,1
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 20/01/2020 AND CLAIM SUBMITTED ON 11/02/2020 AFTER 21 DAYS OF DISCHARGE HENCE REJECTED.,1
"TMS Claim is submitted after 15 days of discharge of the Patient, therefore claim can be rejected",1
QUERY FOR VITAL CHART AND PATIENT PHOTO DURING TREATMENT NOT REVERTED HENCE CLAIM REJECTED,1
Provided case is fracture femur. package blocked is for radius.So provide right case papers ,0
"CLAIM SUBMITTED 15 DAYS AFTER DISCHARGE ,HENCE REJECTED",1
Approved rs 1000 per day care treatment,0
THE PROCEDURE IS NOT PAYABLE AND PACKAGE IS WRONGLY BLOCKED HENCE THIS CLAIM IS REJECTED,1
REJECTED AS CHEMOTHERAPY IS NOT GIVEN,1
CLAIM REJECTED AS PACKAGE BLOCKED FOR MEDICAL MANAGEMENT OF ANEMIA AND SURGERY (D AND C ) HAS DONE HENCE REJECTED,0
CLAIM REJECTED AS SURGERY HAS DONE BEFORE APPROVAL AS IT WAS PLANNED PROCEDURE CAN NOT BE DONE BEFORE PREAUTH APPROVAL,1
CLAIM SUBMITTED AFTER  15 DAYS OF PATIENT DISCHARGE HENCE REJECTED ,1
REJECTED AS PATIENT IS PN ORAL MEDICATION CAN BE MANAGED AS OPD,1
REJECTED AS DAY TO DAY TREATMENT WAS NOT GIVEN,1
"AS PER THE DISCHARGE SUMMARY , COMPLICATION OF DM IS THE DIAGNOSIS AND PACKAGE BLOCKED IS AKI AND. HENCE BLOCK THE CORRESPONDING PACKAGE FOR THIS CASE.HENCE REJECTED.",1
REJECTED CANT BE PAID SEPERATELY,1
REJECTED AS DELAYED CLAIM SUBMISSION AFTER 15 DAYS OF PATIENT DISCHARGE,1
"Duplicate case CASE/HOSP3P14817/PS259856, claim already paid, so this claim not justified, hence rejected",1
FINAL BILL 13860 IS MORE THAN PREAUTH AMOUNT 9900 HENCE CLAIM BEING REJECTED,1
"kindly provide dialysis chart Claim submitted by hospital is more than 15 days after patient discharged, hence rejected",1
DELAYED SUBMISSION OF CLAIMS.,1
delayed submission of claims. hence rejected.,1
"Claim is submitted after 5 days of Discharge of the patient, therefore claim has been rejected.",1
"Referred patient,hence rejected",1
"REJECTED ,AS PER SHA DIRECTION ",1
REJECTED AS CONSERVATIVE MANAGEMENT FOR POST OP COMPLICATION FROM DOD TILL 15 DAYS IS COVERED UNDER SURGERY PACKAGE,1
REJECTED AS TEST NOT DONE,1
"Hospital did not reverted for query , hence denied",1
REJECTED AS CT CHARGES ARE NOT COVERED UNDER THIS PACKAGE,0
"CLAIM ALREADY APPROVED FOR CASE/PS1/HOSP3P65756/FS301112 FOR SEVERE ANEMIA,THIS PACKAGE INCLUDES IN SEVERE ANEMIA,PPD AUTO APPROVED ,HENCE REJECTED ",0
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 1/2/2020 AND CLAIM SUBMITTED ON 19/02/2020 AFTER 18 DAYS OF DISCHARGE HENCE REJECTED. ,1
REJECTED AS CLAIM SUBMITTED AFTER 30 DAYS AFTER  DISCHARGE,1
PATIENT WAS NOT ON ICU VENTILATOR WRONG WARD PACKAGE OPTED HENCE REJECTED,1
REJECTED AS CLAIMSUBMITTED AFTER 15 DAYS OF DISCHARGE,1
"PreAuth initiated after 5days of admission of the patient,hence rejected",1
"PATIENT NOT ADMITTED FOR DELIVERY AS PER REMARK, CLAIM IS BEING REJECTED",1
THE PACKAGE IS WRONGLY BLOCKED HENCE THIS CLAIM IS REJECTED,0
Claim initiated after 30 days of discharge hence rejected,1
"As per the given documents PPD approved for severe anemia, but as per the summary and clinical notes diagnosis is ALD, this is exclusion as per the scheme, hence rejected",0
REJECTED AS MEDICAL MNGT FOR POST OP COMPLICATIONS TILL 15 DAYS ARE COVERED WITHIN SURGERY PACKAGE ITSELF,0
Claim is submitted after 30 days of Discharge of the patient,1
"As there is no delivery,need for this package is not justified,hence rejected",1
AS PER EXCLUSION POLICY ,0
"Discharge documents submitted after 18 days of discharge, TAT of 15 days for submission of claims is passed out, Hence claim is not Payable Discharge documents submitted after 18 days of discharge, TAT of 15 days for submission of claims is passed out, Hence claim is not Payable",1
Delay in claim submission   ( 20/01/2020 and 31/03/2020 about two months),1
AS PER TMS CLAIM IS SUBMITTED AFTER 15 DAYS OF DISCHARGE OF PT,1
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS CLAIM SUBMITTED AFTER 18 DAYS OF DISCHARGE,1
SURGERY NOT DONE HENCE REJECTED,1
case rejected as claim submitted after 15 days of discharge,1
BT NOTES AND FINAL BILL FOR BT IS NOT FOUND HENCE CLAM IS BEING REJECTED,1
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 13/01/2020 AND CLAIM SUBMITTED ON 31/01/2020 AFTER 17 DAYS OF DISCHARGE HENCE REJECTED.,1
REJECTED AS ALREADY CLAIM IS UNDER PROCESS UNDER CASE/PS1/HOSP3G81094/PS280775 FOR SAME DATES..SAME DOCUMENTS WERE PROVIDED IN BOTH CLAIMS,1
REJECTED ASA PREAUTH INITIATED AFTER DISCHARGE OF PATIENT,1
"HD DONE BEFORE MORE THAN 3 DAYS OF PREAUTH, REJECT",1
CLAIM SUBMITTED AFTER 15 DAYS FROM DISCHARGE OF THE PATIENT HENCE REJECTED ,1
REJECTED AS ONE MORE CLAIM UNDER MEDICAL PKG UNDER  PROCESS FOR SAME DOA FOR SAME PATIENT,1
REFERRED TO ANOTHER HOSPITAL BEFORE THE SURGERY,1
REJECTED S MRI BRAIN NOT COVERED UNDER THIS PACKAGE,0
"Duplicate claim, already booked under ID CASE/HOSP3G82905/PS248071 ",1
"oral medications are not payable, hence denied",0
REJECTED AS BT CHARGES ARE COVERED IN SURGERY PACKAGE ITSELF,0
REJECTED AS CLAIM IS SUBMITTED AFTER 30 DAYS OF ACTUAL DISCHARGE,1
"Claim submitted 30 days after the discharge of the patient,hence denied",1
"LAMA  BEFORE SURGERY,HENCE CASE REJECTION..",1
"As per the discharge summary diagnosis is ALD, this is exclusion as per the scheme, hence rejected",0
Approved as per package,1
case rejected as patient could have been taken for PTCA after CAG but opted for blocking multiple packages and admission and management too covered in PTCA package hence rejected,0
"REJECTED  Claim is submitted after 30 days of Discharge of the patient,",1
"As per TMS Claim is submitted after 15 days of discharge of the Patient, therefore claim rejected as per IC instructions",1
REJECTED AFTER 5 DAYS TAT ,1
REJECTED AS CECT /ENDOSCOPY CHARGES ARE NOT COVERED UNDER THIS PACKAGE REJECTED AS CECT /ENDOSCOPY CHARGES ARE NOT COVERED UNDER THIS PACKAGE ,0
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 14/01/2020 AND CLAIM SUBMITTED ON 05/02/2020 AFTER 21 DAYS OF DISCHARGE HENCE REJECTED. ,1
Reject  ,1
FINAL BILL 52120 IS MORE THAN PREAUTH AMOUNT 21600 HENCE CLAIM BEING REJECTED,1
Procedure not done hence reject,1
REJECTED AS INVESTIGATIONS NOT COVERED UNDER THIS PACKAGE,0
REJECTED AS PROCEDURE ABANDONED,0
REJECTED AS PATIENT ADMITTED FOR SURGERY ON 20TH AND PREOPERATIVE COVERED 5 DAYS BEFORE,1
The procedure does not come under the said package and hence the CPD is rejected.,0
PRE AUTH INITIATED AFTER 5 DAYS OF ADMISSION HENCE THIS CLAIM IS REJECTED,1
Approve ,0
REGRETTED DUE TO DELAYED CLAIM SUBMISSION AFTER 15 DAYS OF PATIENT DISCHARGE,1
PATIENT WILLING IS NOT ACCEPTABLE IN REFERRAL SLIP HENCE REJECTED,1
"As per TMS Claim is submitted after 15 days of discharge of the Patient, hence  rejected",1
"REJECTED AS Claim is submitted after 15 days of Discharge of the patient, ",1
REJECTED AS WRONG PACKAGE BLOCKED FOR CT,0
"As per preauth remark.. provided clinical photo need for ICU enhancement is not justified,Kindly take HDU or routine ward,hence rejected",1
"DISCHARGE UPDATED MORE THAN 15 DAYS ,HENCE REJECTED  ",1
"DISCHARGE UPDATED AFTER 15 DAYS,HENCE REJECTED ",1
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 29/1/2020 AND CLAIM SUBMITTED ON 16/02/2020 AFTER 17 DAYS OF DISCHARGE HENCE REJECTED.,1
TAMPERING OF ALL DOCUMENTS.,1
CLAIM SUBMITTED AFTER 15 DAYS (TAT PERIOD) OF DISCHARGE DATE  HENCE CLAIM HAS BEEN REJECTED ,1
"AS PER REPORT HB 10.19 , BT NOTE NOT FOUND CLAIM IS BEING REJECTED",1
SURGERY NOT DONE,1
"CLAIM IS SUBMITTED AFTER MORE THAN 15 DAYS OF DISCHARGE,HENCE CLAIM IS BEING REJECTED",1
"Already package taken CASE/PS1/HOSP3P14817/PS293316,need for this package is not justified,hence rejected",1
"FINAL BILL AMOUNT 30690 IS MORE THAN  PREAUTH AMOUNT 25740, CLAIM IS BEING REJECTED FOR  FALSE BILL",1
REJECTED AS PREAUTH WAS INITIATED AFTER PROCEDURE IS DONE,1
PROCEDURE NOT DONE HENCE REJECTED ,1
SURGICAL AND MEDICAL PACKAGE CAN NOT BE CLUBBED TOGETHER HENCE REJECTED,0
since severe anemia package is also blocked with this package. these two packages cannot be clubbed together since tt for severe anemia is itself bt,0
THE PACKAGE IS WRONGLY BLOCKED HENCE REJECTED,0
Preauth initiated after discharge of patient hence reject,1
AS PER TMS CLAIM IS SUBMITTED AFTER 30 DAYS DISCHARGE OF PT ,1
AS PER TMS CLAIM  IS SUBMITTED AFTER 30 DAYS OF DISCHARGE OF THE PT,1
REJECTED AS STENT REMOVAL CHARGES ARE COVERED IN SURGERY PACKAGE ITSELF,0
REJECTED AS THIS PACKAGE TO BE BLOCKED ONLY IF PATIENT IS UNDER MEDICAL ADMISSION,1
REJECTED AS CLAIM INITIATED AFTER 15 DAYS,1
AS THIS PACKAGE IS PAID WITH THE MEDICAL PACKAGE TAKEN IN CASE/PS1/HOSP3P23204/PS296696 AND HENCE IT IS REJECTED.,1
"HD DONE BEFORE PREAUTH , REJECT",1
"REJECT As per TMS, Pre-Auth is initiated after 5 days of admission ",1
REJECTED AS PATIENT WAS ON ORAL MEDICATION AS PER DOCUMENTS PROVIDED..APPROVAL CANNOT BE GIVEN FOR CAG UNDER THIS MEDICAL PACKAGE,1
"Surgical package taken already CASE/HOSP3P13813/PS249475, so medical package not justified, hence rejected",1
"Pre-Auth is initiated after 5 days of admission and also after discharge of the Patient, therefore claim have been rejected  and as instructed by IC",1
"After repeated query raised,hospital not provided,hence rejected",1
"rejected as Pre-Auth is initiated after 5 days of Admission and after Discharge of the Patient, hence claim rejected.",1
REJECTED DUE TO DELAY SUBMISSION OF CLAIM,1
surgery pkg CASE/HOSP3P15615/PS258356 taken hence rejected ,0
REJECTED AS PER DOCUMENTS PROVIDED PATIENT IS ON ORAL MEDICATION,1
REJECT AS PER PAST HISTORY SURGICAL PACKAGE ALREADY TAKEN CASE/PS1/HOSP3P57220/PS324847,0
"Claim is submitted by hospital is after 15days of discharge of patient,hence rejected",1
REJECTED AS PREAUTH WAS INITIATED AFTER DISCHARGE AND CLAIM SUBMITTED AFTER 15 DAYS OF DISCHARGE,1
REJECTED AS WRONG PACKAGE BLOCKED..USG GUIDED ASPIRATION IS NOT COVERED UNDER THIS PACKAGE,0
Rejected as the submission is  after 15 days ,1
AS PER TMS CLAIM IS SUBMITTED AFTER 15 DAYS OF DISCHARGE OF THE PT ,1
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 19/01/2020 AND CLAIM SUBMITTED ON 05/02/2020 AFTER 16 DAYS OF DISCHARGE HENCE REJECTED. ,1
RECOVERY AMOUNT DEDUCTED.,0
QUERY NOT REVERTED HENCE RAJECTED.,1
"Claim submitted 30 days after the discharge, hence rejected",1
reject. patient has been admitted on 20th and as per discharge summary next dialysis is on 26th CASE/PS1/HOSP3P57777/PS290356  but claim initiated on 24th and dates are tampered in discharge summary ,1
REJECTED AS PATIENT ADMITTED FOR MEDICAL MNGT OF ANEMIA AS PER DOCUMENTS PROVIDED..DELIVERY NOT DONE,1
"reject as As per the given documents diagnosis is self inflicted injury, this is exclusion as per the scheme",0
"As per the past history already bilateral DJ stent package paid on December, so query raised for Present pre USG but not provided, so package blocked is not justified, hence rejected",1
"reject as Pre-Auth is initiated after 5 days of Admission and also after Discharge of the Patient,",1
REJECTED AS NO EVIDENCE OF MEDICAL PACKAGE WHICH CAN BE CLUBBED,0
WRONG PACKAGE BLOCKED AS PACKAGE BLOCKED FOR BLOOD TRANSFUSION BUT MRI HAS DONE ,0
Delay in claim submission for three months,1
ALREADY PAST HISTORY  THIS PACKAGE APPROVED HENCE REJECTED ,0
REJECTED AS WRONG PACKAGE BLOCKED FOR ENDOSCOPY,0
"After repeated query raised,hospital not provide documents,hence rejected",1
As per Sha case has been rejected,1
WRONG PACKAGE BLOCKED AS PACKAGE BLOCKED FOR CT INVESTIGATION UNDER BLOOD TRANSFUSION PACKAGE,0
"PreAuth is initiated after 5days of admission of patient,hence rejected",1
kindly block for appropriate package,0
PRE AUTH INITIATED AFTER 5 DAYS OF ADMISSION HENCE REJECTED,1
AS PER DISCHARGE SUMMARY PROVIDED PATIENT REFERRED TO ANOTHER HOSPITAL PROCEDURE NOT DONE HENCE REJECTED ,1
"REJECTED, DUE TO CLAIM INITIATED AFTER 15 DAYS",1
"AS PER TMS CLAIM IS SUBMITTED AFTER 15 DAYS OF DISCHARGE OF THE PT,THEREFORE CLAIM HAVE BEEN REJECTED",1
REJECTED AS NO PROCEDURE DONE MENTIONED ON D/S,1
REJECTED AS PATIENT ON ORAL MEDICATION AS PER DOCUMENTS PROVIDED AND UNDER U100 APPROVAL CANNOT BE GIVEN FOR CONSERVATIVE MNGT,0
CLAIM REJECTED AS TAT OF 15 DAYS FOR SUBMISSION OF CLAIM IS PASSED OUT AS DOD WAS 31/1/2020 AND CLAIM SUBMITTED ON 16/02/2020 AFTER 16 DAYS OF DISCHARGE HENCE REJECTED.,1
REJECTED AS HOSPITAL OPTED PLANNED PROCEDURE AND DONE BEFORE PREAUTH APPROVAL,1
"As per the pre auth documents PPD approved for PUO, but as per the summary diagnosis is ALD, so this can not be paid as per the scheme, hence rejected",0
"AS PER AUDIT REMARKS , NO SPECIALIST AVAILABLE . HENCE REJECTED.",1
REJECTED DUE DELAYED IN CLAIM SUBMISSION AFTER 15 DAYS OF PATIENT DISCHARGE,1
REJECTED DUE TO  DELAYED CLAIM SUBMISSION AFTER 15 DAYS OF PATIENT DISCHARGE,1
CASE REJECTED AS MEDICAL MANAGEMENT DONE UNDER SURGICAL PACKAGE,0
REJECTED AS DRUG ADDICTION AND RELATED AILMENTS ARE NOT PAYABLE AS PER POLICY EXCLUSIONS,0
REJECTED AS NO BED PHOTO IS PROVIDED,1
"CLAIM SUBMITTED AFTER 30 DAYS OF DISCHARGE OF PATIENT,HENCE REJECTED  ",1
The claim submission is beyond 30 days from the day of discharge and hence the claim is rejected.,1
AS PER TMS CLAIM IS SUBMITTED AFTER 15 DAYS OF THE PT THERE FORE CLAIM HAVE BEEN REJECTED ,1
REJECTED AS MRI BRAIN IS NOT COVERED UNDER THIS PACKAGE,0
"PATIENT NAME MISMATCH IN CLINICAL NOTES ( DARSHANA ) TREATMENT AND VITAL CHART  NOT ATTACHED, REJECT",1
REJECTED AS PER SHA DIRECTION ,1
"As per the past history surgical package already taken CASE/PS1/HOSP3P19597/PS287669 (Lap. cholecystectomy), so as per the tender pre op expenses covered in surgical package, hence rejected",0
CASE REJECTED AS SAME PHOTO OF PREAUTH IS PROVIDED IN OTHER CLAIM AND PHOTO MISMATCHED,1
"OT NOTES NOT PROVIDED ,AFTER MULTIPLE QUERIES HENCE REJECTED ",1
CASE REJECTED AS PATIENT 15 DAYS TAT OF SURGERY NOT COVERED ,0
"AS PER PREAUTH DOCUMENTS ,NO ALCOHOL HISTORY IS NOT AVAILABLE,BUT IN DISCHARGE SUMMARY,DIAGNOSIS MENTIONED AS ALD,ALCOHOL IS EXCLUSION,NOT PAYABLE,HENCE REJECTED ",1
CLAIM REJECTED AS INSTEAD OF REPEATED REMINDERS HOSPITAL HAS NOT PROVIDED REQUIRED DOCUMENTS HENCE REJECTED,1
CLAIM  REJECTED AS MEDICAL TREATMENT OF 7 DAYS COVERED UNDER SURGICAL PACKAGE BLOCKED AND PTCA PACKAGE ALREADY BLOCKED HENCE MEDICAL MANAGEMENT COVERED UNDER THIS FOR POST 7 DAYS OF SURGERY,1
"Query not reverted ,Kindly provide post op KUB x ray film with DJ stent with pt. name  ",1
CLINICAL PHOTO OF THE PATIENT DOES NOT JUSTIFY HEMODIALYSIS DONE,1
"Claim submitted 30 days after discharge, hence denied ",1
CLAIM REJECTED AS HOSPITAL HAS OPTED FOR PLANNED PROCEDURE AND PROCEDURE DONE BEFORE APPROVAL,1
"As per the past history already surgical package taken on 17/03 PTCA double stent, so as per the tender pre operative medical package is covered in surgery package, hence rejected",0
REJECTED DUE DELAYED CLAIM SUBMISSION AFTER 30 DAYS OF PATIENT DISCHARGE,1
The claim is rejected due to the following reasons 1) Delay of 46 days for the claim submission 2) Pre auth initiation during/after discharge of the patient.,1
"Not Approveable as this removal is already in package of DJ stenting, as per new guideline by SHA",0
"PROCEDURE NOT MENTIONED IN DEATH SUMMARY, OT NOTES NOT ATTACHED, REJECT",1
rejected as pre-auth is initiated after 5 days of Admission ,1
Reject As the limit of claim submission is finished on 7/3 As patient discharged on 7/2. And you submitted on 20/3 after one and half month of it,0
SAME  PACKAGE BLOCKED AS IN PAST HISTORY SAME PACKAGE BLOCKED CASE/PS1/HOSP3P91932/PS322014 HENCE REJECTED.,1
"AS PER AUDIT REMARK ,NO SPECIALIST AVAILABLE,HENCE REJECTED  ",1
Rejected as the submission is not within 15 days.,1
